                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78937,                 1.8256,                 1.0779,                0.81437,                 2.3096,                 1.0421,                0.53453,                0.83169,                0.81708,                0.69119,                0.55719,                 14.879,                 1.0296,                0.66804,                 4.1021,                 1.0951,             0.00020004,             0.00020004,             0.00020004
                      2,                0.65864,                0.61843,                0.95671,                0.69672,                0.77009,                0.95738,                0.92566,                0.90863,                0.98033,                0.83284,                 0.6265,                 1.5561,                 1.0095,                0.65323,                0.89077,                 1.0069,             0.00041262,             0.00041262,             0.00041262
                      3,                0.67798,                0.50786,                0.95461,                0.71196,                0.48036,                0.96518,                0.14652,                0.57449,                0.12697,                0.09504,                 1.1043,                 4.4947,                 1.6106,                 1.4996,                 407.64,                 2.2036,             0.00062092,             0.00062092,             0.00062092
                      4,                0.66144,                0.47193,                0.95371,                0.71541,                0.38584,                0.97035,                0.30432,                0.30185,                0.25977,                 0.2067,                0.92482,                0.89576,                 1.2562,                  1.092,                 59.248,                 1.3165,             0.00082492,             0.00082492,             0.00082492
                      5,                0.67693,                0.45377,                0.96685,                0.72494,                 0.3429,                0.98823,                 0.5508,                0.57581,                0.46853,                0.35698,                 1.2873,                  1.031,                 1.6595,                 1.6515,                  5.058,                 1.8972,              0.0010246,              0.0010246,              0.0010246
                      6,                0.66338,                0.48516,                0.98162,                 0.7169,                0.38401,                 1.0052,                0.46187,                0.71347,                0.47447,                 0.3938,                0.72215,                 2.9981,                 1.0448,                0.81279,                 2.8506,                 1.1009,              0.0012201,              0.0012201,              0.0012201
                      7,                0.69797,                0.46973,                0.97478,                 0.7425,                0.37007,                0.99603,                0.74992,                0.86461,                0.74373,                0.61946,                0.64918,                 100.63,                 1.0319,                0.65373,                 2.1436,                 1.0215,              0.0014112,              0.0014112,              0.0014112
                      8,                0.69301,                 0.4886,                0.95773,                0.75304,                0.38897,                0.98308,                0.82333,                0.35203,                 0.4068,                0.30563,                 1.7848,                 2.0916,                 2.6722,                 2.6151,                 3.6369,                 2.9273,              0.0015515,              0.0015515,              0.0015515
                      9,                0.65749,                0.49701,                 0.9585,                0.72697,                0.35422,                0.98891,                0.92248,                0.84822,                0.94492,                0.76866,                0.65646,                0.71491,                 1.0282,                0.80234,                0.57465,                 1.1144,              0.0015515,              0.0015515,              0.0015515
                     10,                0.63513,                0.44632,                0.93998,                0.69688,                0.34618,                0.96592,                0.89867,                 0.5998,                0.72817,                 0.5876,                0.90839,                0.89483,                 1.1586,                 1.1119,                 1.3738,                 1.2877,               0.001535,               0.001535,               0.001535
                     11,                0.64216,                0.43083,                0.94677,                0.70594,                0.35137,                0.97361,                0.98164,                0.94726,                0.98257,                0.85254,                0.58811,                0.41446,                0.96284,                    0.6,                0.28973,                0.96908,              0.0015185,              0.0015185,              0.0015185
                     12,                0.61481,                0.40126,                0.92768,                0.65908,                0.35089,                0.94619,                 0.8946,                0.86933,                 0.9638,                0.81014,                0.61787,                0.58293,                0.98254,                0.65875,                 0.4895,                 1.0174,               0.001502,               0.001502,               0.001502
                     13,                0.60613,                0.37081,                 0.9162,                0.66139,                0.29366,                0.93827,                0.90424,                0.88636,                 0.9553,                0.83066,                0.56035,                0.39788,                0.94204,                0.59335,                0.45941,                 0.9629,              0.0014855,              0.0014855,              0.0014855
                     14,                0.61577,                0.38805,                0.92768,                0.67258,                0.33741,                0.94814,                0.99162,                0.98774,                0.99363,                0.86264,                0.55754,                0.31456,                0.94677,                0.57856,                0.22065,                0.96347,               0.001469,               0.001469,               0.001469
                     15,                0.60824,                0.37806,                 0.9338,                0.66674,                0.29236,                0.95187,                0.93587,                0.91649,                0.97413,                0.85994,                0.54993,                0.39443,                0.92824,                 0.5479,                 0.3429,                0.93295,              0.0014525,              0.0014525,              0.0014525
                     16,                0.60909,                0.38013,                0.92666,                0.66397,                0.28206,                0.94917,                0.97065,                0.91304,                0.95585,                0.83012,                0.55997,                0.45554,                0.94531,                0.58072,                0.31815,                0.95679,               0.001436,               0.001436,               0.001436
                     17,                0.60137,                0.35592,                  0.922,                0.64543,                0.26417,                0.93827,                0.97793,                0.91257,                0.96056,                0.83806,                0.58575,                0.41014,                0.94624,                0.57933,                0.33068,                 0.9567,              0.0014195,              0.0014195,              0.0014195
                     18,                0.59496,                 0.3517,                0.91758,                0.65503,                0.26708,                0.93645,                0.97818,                0.98605,                0.99098,                0.88006,                0.52906,                0.32078,                0.92488,                0.53783,                0.22275,                0.93349,              0.0014029,              0.0014029,              0.0014029
                     19,                0.57937,                0.33824,                 0.9124,                0.63924,                0.27279,                0.93069,                0.98233,                0.97698,                0.99388,                0.87846,                 0.5357,                0.30768,                 0.9321,                0.54198,                0.21719,                0.92923,              0.0013864,              0.0013864,              0.0013864
                     20,                0.58279,                0.33507,                0.90872,                 0.6384,                  0.265,                0.93036,                0.97289,                0.97326,                0.98881,                 0.8662,                0.52751,                0.31162,                0.93253,                0.54752,                0.22382,                0.94117,              0.0013699,              0.0013699,              0.0013699
                     21,                0.56658,                0.33153,                0.91536,                0.60829,                0.24949,                 0.9305,                0.96447,                0.86629,                0.98243,                0.84961,                0.54305,                0.38886,                0.93554,                0.58316,                0.31724,                0.94987,              0.0013534,              0.0013534,              0.0013534
                     22,                0.58955,                0.33849,                0.92748,                0.63524,                0.27169,                0.94147,                0.98144,                0.96246,                0.99169,                0.86998,                 0.5419,                0.30867,                0.93425,                0.58355,                0.22292,                0.95737,              0.0013369,              0.0013369,              0.0013369
                     23,                 0.5925,                0.34022,                0.91243,                0.63662,                0.24877,                0.92689,                0.98463,                0.98487,                0.99289,                0.88017,                 0.5199,                0.28544,                0.92073,                0.53418,                0.19406,                0.93431,              0.0013204,              0.0013204,              0.0013204
                     24,                0.58729,                0.34419,                0.92221,                0.63864,                0.27184,                0.94159,                0.99135,                0.98835,                0.99403,                0.87109,                0.52688,                0.27986,                0.92259,                0.55701,                0.19423,                0.94141,              0.0013039,              0.0013039,              0.0013039
                     25,                0.55623,                0.33765,                0.90707,                0.60522,                0.26773,                0.92767,                0.98392,                0.99899,                0.99437,                0.88142,                0.49713,                0.24743,                0.90886,                0.51492,                0.16707,                0.92078,              0.0012874,              0.0012874,              0.0012874
                     26,                0.55199,                0.32583,                0.90002,                0.58924,                0.25191,                0.91693,                0.98757,                0.99495,                0.99433,                0.88105,                0.50092,                0.26265,                0.90984,                0.53047,                0.18492,                0.92204,              0.0012709,              0.0012709,              0.0012709
                     27,                0.55078,                0.31978,                0.91281,                0.59237,                0.23828,                0.93016,                0.97877,                0.98291,                0.99389,                0.87977,                0.51474,                 0.2601,                0.91178,                0.52052,                  0.173,                0.91972,              0.0012544,              0.0012544,              0.0012544
                     28,                0.55566,                0.32757,                0.91463,                 0.6002,                0.23991,                0.93452,                0.99313,                0.98627,                0.99382,                0.87783,                0.51687,                 0.2606,                0.91317,                0.53971,                0.17111,                0.92541,              0.0012379,              0.0012379,              0.0012379
